time,open,high,low,close
2024-01-01,1.1000,1.1030,1.0980,1.1020
2024-01-02,1.1020,1.1050,1.1000,1.1045
2024-01-03,1.1045,1.1080,1.1030,1.1075
2024-01-04,1.1075,1.1100,1.1055,1.1060
2024-01-05,1.1060,1.1090,1.1040,1.1085
2024-01-06,1.1085,1.1120,1.1070,1.1115
2024-01-07,1.1115,1.1140,1.1100,1.1120
2024-01-08,1.1120,1.1160,1.1110,1.1155
2024-01-09,1.1155,1.1190,1.1145,1.1180
2024-01-10,1.1180,1.1210,1.1160,1.1205
2024-01-11,1.1205,1.1235,1.1195,1.1220
2024-01-12,1.1220,1.1250,1.1200,1.1210
2024-01-13,1.1210,1.1240,1.1190,1.1200
2024-01-14,1.1200,1.1225,1.1185,1.1195
2024-01-15,1.1195,1.1230,1.1180,1.1225
